Info    : Reading '../results/t51/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t51/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t51
> Nbr of triangles = 20946
> Ersatz material = 1e-07
> Iterations:
i =   0 | cost = 2.7146 | cstr = 1.5925 | nder = 5.3776 | steps =  0 | lagr = 2.7146 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = 2.3464 | cstr = 1.6170 | nder = 3.3017 | steps = 14 | lagr = 2.7267 | lm = 1.2328 | mu = 0.0000 | 
i =   2 | cost = 2.1090 | cstr = 1.6313 | nder = 2.2216 | steps = 14 | lagr = 2.6614 | lm = 1.5057 | mu = 0.2444 | 
i =   3 | cost = 1.9542 | cstr = 1.6405 | nder = 1.5692 | steps = 14 | lagr = 2.6761 | lm = 1.7670 | mu = 0.4873 | 
i =   4 | cost = 1.8548 | cstr = 1.6421 | nder = 1.1951 | steps = 15 | lagr = 2.7350 | lm = 2.0121 | mu = 0.7292 | 
i =   5 | cost = 1.7923 | cstr = 1.6326 | nder = 1.0331 | steps = 16 | lagr = 2.8062 | lm = 2.2346 | mu = 0.9706 | 
i =   6 | cost = 1.7739 | cstr = 1.6088 | nder = 1.0138 | steps = 15 | lagr = 2.8825 | lm = 2.4291 | mu = 1.2127 | 
i =   7 | cost = 1.7719 | cstr = 1.5791 | nder = 1.0669 | steps = 16 | lagr = 2.9503 | lm = 2.6135 | mu = 1.4565 | 
i =   8 | cost = 1.7803 | cstr = 1.5426 | nder = 1.1390 | steps = 16 | lagr = 2.9981 | lm = 2.7863 | mu = 1.7022 | 
i =   9 | cost = 1.8056 | cstr = 1.5025 | nder = 1.2101 | steps = 15 | lagr = 3.0373 | lm = 2.9533 | mu = 1.9494 | 
i =  10 | cost = 1.8465 | cstr = 1.4529 | nder = 1.2909 | steps = 16 | lagr = 3.0464 | lm = 3.1020 | mu = 2.1971 | 
i =  11 | cost = 1.8909 | cstr = 1.4058 | nder = 1.3675 | steps = 16 | lagr = 3.0470 | lm = 3.2542 | mu = 2.4434 | 
i =  12 | cost = 1.9408 | cstr = 1.3564 | nder = 1.4351 | steps = 16 | lagr = 3.0249 | lm = 3.3975 | mu = 2.6853 | 
i =  13 | cost = 1.9914 | cstr = 1.3095 | nder = 1.4938 | steps = 15 | lagr = 2.9906 | lm = 3.5372 | mu = 2.9188 | 
i =  14 | cost = 2.0429 | cstr = 1.2612 | nder = 1.5369 | steps = 16 | lagr = 2.9312 | lm = 3.6615 | mu = 3.1395 | 
i =  15 | cost = 2.1087 | cstr = 1.2092 | nder = 1.5341 | steps = 15 | lagr = 2.8517 | lm = 3.7599 | mu = 3.3418 | 
