Info    : Reading '../results/t16/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t16/domain.msh'
> Iterations:
i =   0 | cost = -0.0251 | cstr = 1.0014 | nder = 0.0331 | steps =  0 | lagr = -0.0251 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = -0.0254 | cstr = 1.0057 | nder = 0.0228 | steps = 16 | lagr = -0.0253 | lm = 0.0113 | mu = 0.0000 | 
i =   2 | cost = -0.0260 | cstr = 1.0338 | nder = 0.0353 | steps = 15 | lagr = -0.0247 | lm = 0.0733 | mu = 0.0057 | 
i =   3 | cost = -0.0256 | cstr = 1.0191 | nder = 0.0400 | steps = 15 | lagr = -0.0245 | lm = 0.0774 | mu = 0.0393 | 
i =   4 | cost = -0.0252 | cstr = 1.0044 | nder = 0.0305 | steps = 15 | lagr = -0.0249 | lm = 0.0669 | mu = 0.0582 | 
i =   5 | cost = -0.0252 | cstr = 1.0088 | nder = 0.0429 | steps = 16 | lagr = -0.0246 | lm = 0.0800 | mu = 0.0626 | 
i =   6 | cost = -0.0248 | cstr = 0.9955 | nder = 0.0264 | steps = 15 | lagr = -0.0251 | lm = 0.0623 | mu = 0.0713 | 
i =   7 | cost = -0.0249 | cstr = 1.0004 | nder = 0.0312 | steps = 16 | lagr = -0.0249 | lm = 0.0676 | mu = 0.0668 | 
i =   8 | cost = -0.0248 | cstr = 0.9984 | nder = 0.0278 | steps = 16 | lagr = -0.0249 | lm = 0.0640 | mu = 0.0672 | 
i =   9 | cost = -0.0247 | cstr = 0.9941 | nder = 0.0181 | steps = 16 | lagr = -0.0251 | lm = 0.0538 | mu = 0.0656 | 
i =  10 | cost = -0.0248 | cstr = 0.9961 | nder = 0.0160 | steps = 16 | lagr = -0.0250 | lm = 0.0519 | mu = 0.0598 | 
i =  11 | cost = -0.0250 | cstr = 0.9999 | nder = 0.0191 | steps = 16 | lagr = -0.0250 | lm = 0.0556 | mu = 0.0559 | 
